SN,Aarrival City,Airline,Arrival,Current Date,Departure,Departure City,Ticket Price,Travel Date
0,AUS,United,Austin,1/16/2018,ABQ,Albuquerque,104,2/5/2018
1,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,104,2/5/2018
2,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,104,2/5/2018
3,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,104,2/5/2018
4,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,104,2/5/2018
5,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,104,2/5/2018
6,AUS,United,Austin,1/16/2018,ABQ,Albuquerque,104,2/5/2018
7,AUS,United,Austin,1/16/2018,ABQ,Albuquerque,104,2/5/2018
8,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,104,2/5/2018
9,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,104,2/5/2018
10,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,104,2/5/2018
11,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,104,2/5/2018
12,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,104,2/5/2018
13,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,104,2/5/2018
14,AUS,United,Austin,1/16/2018,ABQ,Albuquerque,104,2/5/2018
15,AUS,United,Austin,1/16/2018,ABQ,Albuquerque,109.6,2/5/2018
16,AUS,Alaska Airlines,Austin,1/16/2018,ABQ,Albuquerque,185.6,2/5/2018
17,AUS,United,Austin,1/16/2018,ABQ,Albuquerque,220,2/5/2018
18,AUS,United,Austin,1/16/2018,ABQ,Albuquerque,228,2/5/2018
19,AUS,Alaska Airlines,Austin,1/16/2018,ABQ,Albuquerque,243,2/5/2018
20,AUS,Virgin America,Austin,1/16/2018,ABQ,Albuquerque,250,2/5/2018
21,AUS,Delta,Austin,1/16/2018,ABQ,Albuquerque,434,2/5/2018
22,AUS,Delta,Austin,1/16/2018,ABQ,Albuquerque,434,2/5/2018
23,AUS,Delta,Austin,1/16/2018,ABQ,Albuquerque,435,2/5/2018
24,AUS,Delta,Austin,1/16/2018,ABQ,Albuquerque,439.6,2/5/2018
25,AUS,Alaska Airlines,Austin,1/16/2018,ABQ,Albuquerque,639.2,2/5/2018
26,AUS,Alaska Airlines,Austin,1/16/2018,ABQ,Albuquerque,644.8,2/5/2018
27,AUS,Alaska Airlines,Austin,1/16/2018,ABQ,Albuquerque,644.8,2/5/2018
0,DEN,United,Denver,1/16/2018,ABQ,Albuquerque,421.5,2/5/2018
1,DEN,United,Denver,1/16/2018,ABQ,Albuquerque,421.5,2/5/2018
2,DEN,United,Denver,1/16/2018,ABQ,Albuquerque,421.5,2/5/2018
3,DEN,Delta,Denver,1/16/2018,ABQ,Albuquerque,465,2/5/2018
4,DEN,Delta,Denver,1/16/2018,ABQ,Albuquerque,465,2/5/2018
5,DEN,Delta,Denver,1/16/2018,ABQ,Albuquerque,465,2/5/2018
6,DEN,United,Denver,1/16/2018,ABQ,Albuquerque,521.5,2/5/2018
7,DEN,United,Denver,1/16/2018,ABQ,Albuquerque,521.5,2/5/2018
8,DEN,Boutique Air,Denver,1/16/2018,ABQ,Albuquerque,535,2/5/2018
9,DEN,American Airlines,Denver,1/16/2018,ABQ,Albuquerque,696,2/5/2018
10,DEN,American Airlines,Denver,1/16/2018,ABQ,Albuquerque,770,2/5/2018
11,DEN,American Airlines,Denver,1/16/2018,ABQ,Albuquerque,813,2/5/2018
12,DEN,Delta,Denver,1/16/2018,ABQ,Albuquerque,815,2/5/2018
13,DEN,Delta,Denver,1/16/2018,ABQ,Albuquerque,815,2/5/2018
14,DEN,American Airlines,Denver,1/16/2018,ABQ,Albuquerque,900,2/5/2018
15,DEN,Delta,Denver,1/16/2018,ABQ,Albuquerque,943,2/5/2018
16,DEN,American Airlines,Denver,1/16/2018,ABQ,Albuquerque,958,2/5/2018
17,DEN,American Airlines,Denver,1/16/2018,ABQ,Albuquerque,1034,2/5/2018
18,DEN,American Airlines,Denver,1/16/2018,ABQ,Albuquerque,1050,2/5/2018
19,DEN,American Airlines,Denver,1/16/2018,ABQ,Albuquerque,1050,2/5/2018
20,DEN,Alaska Airlines,Denver,1/16/2018,ABQ,Albuquerque,1205,2/5/2018
21,DEN,Delta,Denver,1/16/2018,ABQ,Albuquerque,1265,2/5/2018
22,DEN,American Airlines,Denver,1/16/2018,ABQ,Albuquerque,1300,2/5/2018
23,DEN,American Airlines,Denver,1/16/2018,ABQ,Albuquerque,1500,2/5/2018
24,DEN,American Airlines,Denver,1/16/2018,ABQ,Albuquerque,1500,2/5/2018
0,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,90,2/5/2018
1,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,95,2/5/2018
2,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,95,2/5/2018
3,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,95,2/5/2018
4,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,104,2/5/2018
5,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,104,2/5/2018
6,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,104,2/5/2018
7,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,115,2/5/2018
8,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,115,2/5/2018
9,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,115,2/5/2018
10,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,125,2/5/2018
11,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,125,2/5/2018
12,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,125,2/5/2018
13,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,135,2/5/2018
14,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,135,2/5/2018
15,KOA,Mokulele Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,141,2/5/2018
16,KOA,Mokulele Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,145.2,2/5/2018
17,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,150,2/5/2018
18,KOA,Mokulele Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,151,2/5/2018
19,KOA,Mokulele Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,151,2/5/2018
20,KOA,Mokulele Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,151,2/5/2018
21,KOA,Mokulele Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,151,2/5/2018
22,KOA,Mokulele Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,151,2/5/2018
23,KOA,Mokulele Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,151,2/5/2018
24,KOA,Mokulele Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,151,2/5/2018
25,KOA,Mokulele Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,151,2/5/2018
26,KOA,Mokulele Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,151,2/5/2018
27,KOA,Mokulele Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,155.2,2/5/2018
28,KOA,Mokulele Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,155.2,2/5/2018
29,KOA,Mokulele Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,155.2,2/5/2018
30,KOA,Mokulele Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,155.2,2/5/2018
31,KOA,Mokulele Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,155.2,2/5/2018
32,KOA,Mokulele Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,155.2,2/5/2018
33,KOA,Mokulele Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,155.2,2/5/2018
34,KOA,Mokulele Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,155.2,2/5/2018
0,ATL,Delta,Atlanta,1/16/2018,ABE,Allentown,213.2,2/5/2018
1,ATL,Delta,Atlanta,1/16/2018,ABE,Allentown,213.2,2/5/2018
2,ATL,Delta,Atlanta,1/16/2018,ABE,Allentown,214.3,2/5/2018
3,ATL,Delta,Atlanta,1/16/2018,ABE,Allentown,214.3,2/5/2018
4,ATL,Delta,Atlanta,1/16/2018,ABE,Allentown,214.3,2/5/2018
5,ATL,Delta,Atlanta,1/16/2018,ABE,Allentown,218.8,2/5/2018
6,ATL,American Airlines,Atlanta,1/16/2018,ABE,Allentown,221.5,2/5/2018
7,ATL,American Airlines,Atlanta,1/16/2018,ABE,Allentown,221.5,2/5/2018
8,ATL,American Airlines,Atlanta,1/16/2018,ABE,Allentown,221.5,2/5/2018
9,ATL,Delta,Atlanta,1/16/2018,ABE,Allentown,223,2/5/2018
10,ATL,Delta,Atlanta,1/16/2018,ABE,Allentown,223,2/5/2018
11,ATL,American Airlines,Atlanta,1/16/2018,ABE,Allentown,223,2/5/2018
12,ATL,American Airlines,Atlanta,1/16/2018,ABE,Allentown,223,2/5/2018
13,ATL,American Airlines,Atlanta,1/16/2018,ABE,Allentown,246.5,2/5/2018
14,ATL,Delta,Atlanta,1/16/2018,ABE,Allentown,262.8,2/5/2018
15,ATL,,Atlanta,1/16/2018,ABE,Allentown,481.2,2/5/2018
16,ATL,,Atlanta,1/16/2018,ABE,Allentown,481.2,2/5/2018
17,ATL,,Atlanta,1/16/2018,ABE,Allentown,482.2,2/5/2018
18,ATL,,Atlanta,1/16/2018,ABE,Allentown,482.2,2/5/2018
19,ATL,,Atlanta,1/16/2018,ABE,Allentown,482.2,2/5/2018
20,ATL,,Atlanta,1/16/2018,ABE,Allentown,482.2,2/5/2018
21,ATL,United,Atlanta,1/16/2018,ABE,Allentown,484,2/5/2018
22,ATL,United,Atlanta,1/16/2018,ABE,Allentown,484,2/5/2018
23,ATL,United,Atlanta,1/16/2018,ABE,Allentown,484,2/5/2018
24,ATL,,Atlanta,1/16/2018,ABE,Allentown,486.8,2/5/2018
25,ATL,,Atlanta,1/16/2018,ABE,Allentown,486.8,2/5/2018
26,ATL,,Atlanta,1/16/2018,ABE,Allentown,486.8,2/5/2018
27,ATL,,Atlanta,1/16/2018,ABE,Allentown,486.8,2/5/2018
28,ATL,,Atlanta,1/16/2018,ABE,Allentown,487.8,2/5/2018
29,ATL,,Atlanta,1/16/2018,ABE,Allentown,487.8,2/5/2018
30,ATL,,Atlanta,1/16/2018,ABE,Allentown,487.8,2/5/2018
31,ATL,United,Atlanta,1/16/2018,ABE,Allentown,489.6,2/5/2018
32,ATL,United,Atlanta,1/16/2018,ABE,Allentown,489.6,2/5/2018
33,ATL,,Atlanta,1/16/2018,ABE,Allentown,518.8,2/5/2018
34,ATL,,Atlanta,1/16/2018,ABE,Allentown,541.8,2/5/2018
0,YUL,WestJet,Montreal,1/16/2018,MCO,Orlando,335.9,2/5/2018
1,YUL,WestJet,Montreal,1/16/2018,MCO,Orlando,335.9,2/5/2018
2,YUL,Air Canada,Montreal,1/16/2018,MCO,Orlando,394.85,2/5/2018
0,YYZ,American Airlines,Toronto,1/16/2018,MCO,Orlando,105.35,2/5/2018
1,YYZ,American Airlines,Toronto,1/16/2018,MCO,Orlando,105.35,2/5/2018
2,YYZ,American Airlines,Toronto,1/16/2018,MCO,Orlando,106.85,2/5/2018
3,YYZ,American Airlines,Toronto,1/16/2018,MCO,Orlando,106.85,2/5/2018
4,YYZ,Delta,Toronto,1/16/2018,MCO,Orlando,106.85,2/5/2018
5,YYZ,Delta,Toronto,1/16/2018,MCO,Orlando,106.85,2/5/2018
6,YYZ,Delta,Toronto,1/16/2018,MCO,Orlando,106.85,2/5/2018
7,YYZ,Delta,Toronto,1/16/2018,MCO,Orlando,106.85,2/5/2018
8,YYZ,Delta,Toronto,1/16/2018,MCO,Orlando,106.85,2/5/2018
9,YYZ,American Airlines,Toronto,1/16/2018,MCO,Orlando,106.85,2/5/2018
10,YYZ,American Airlines,Toronto,1/16/2018,MCO,Orlando,106.85,2/5/2018
11,YYZ,Delta,Toronto,1/16/2018,MCO,Orlando,106.85,2/5/2018
12,YYZ,WestJet,Toronto,1/16/2018,MCO,Orlando,112.13,2/5/2018
13,YYZ,Air Canada,Toronto,1/16/2018,MCO,Orlando,112.13,2/5/2018
14,YYZ,Air Canada,Toronto,1/16/2018,MCO,Orlando,112.13,2/5/2018
15,YYZ,United,Toronto,1/16/2018,MCO,Orlando,120.83,2/5/2018
16,YYZ,United,Toronto,1/16/2018,MCO,Orlando,120.83,2/5/2018
17,YYZ,United,Toronto,1/16/2018,MCO,Orlando,120.83,2/5/2018
18,YYZ,American Airlines,Toronto,1/16/2018,MCO,Orlando,121.9,2/5/2018
19,YYZ,Delta,Toronto,1/16/2018,MCO,Orlando,140.1,2/5/2018
20,YYZ,United,Toronto,1/16/2018,MCO,Orlando,142.33,2/5/2018
21,YYZ,United,Toronto,1/16/2018,MCO,Orlando,142.33,2/5/2018
22,YYZ,Delta,Toronto,1/16/2018,MCO,Orlando,148.8,2/5/2018
23,YYZ,Delta,Toronto,1/16/2018,MCO,Orlando,148.8,2/5/2018
24,YYZ,Delta,Toronto,1/16/2018,MCO,Orlando,148.8,2/5/2018
25,YYZ,Delta,Toronto,1/16/2018,MCO,Orlando,148.8,2/5/2018
26,YYZ,Delta,Toronto,1/16/2018,MCO,Orlando,148.8,2/5/2018
27,YYZ,American Airlines,Toronto,1/16/2018,MCO,Orlando,154.8,2/5/2018
28,YYZ,American Airlines,Toronto,1/16/2018,MCO,Orlando,154.8,2/5/2018
29,YYZ,American Airlines,Toronto,1/16/2018,MCO,Orlando,154.8,2/5/2018
30,YYZ,Delta,Toronto,1/16/2018,MCO,Orlando,156.3,2/5/2018
31,YYZ,Delta,Toronto,1/16/2018,MCO,Orlando,156.3,2/5/2018
32,YYZ,Delta,Toronto,1/16/2018,MCO,Orlando,156.3,2/5/2018
33,YYZ,Delta,Toronto,1/16/2018,MCO,Orlando,156.3,2/5/2018
34,YYZ,Delta,Toronto,1/16/2018,MCO,Orlando,156.3,2/5/2018
0,ANC,Alaska Airlines,Anchorage,1/16/2018,ADQ,Kodiak,161.6,2/5/2018
1,ANC,Ravn Alaska,Anchorage,1/16/2018,ADQ,Kodiak,163.1,2/5/2018
2,ANC,Ravn Alaska,Anchorage,1/16/2018,ADQ,Kodiak,163.1,2/5/2018
3,ANC,Ravn Alaska,Anchorage,1/16/2018,ADQ,Kodiak,163.1,2/5/2018
4,ANC,Ravn Alaska,Anchorage,1/16/2018,ADQ,Kodiak,163.1,2/5/2018
0,SEA,Alaska Airlines,Seattle,1/16/2018,ALW,Walla Walla,208.3,2/5/2018
1,SEA,Alaska Airlines,Seattle,1/16/2018,ALW,Walla Walla,208.3,2/5/2018
2,SEA,Alaska Airlines,Seattle,1/16/2018,ALW,Walla Walla,208.3,2/5/2018
0,BOS,JetBlue Airways,Boston,1/16/2018,ACK,Nantucket,139,2/5/2018
1,BOS,JetBlue Airways,Boston,1/16/2018,ACK,Nantucket,139,2/5/2018
2,BOS,Cape Air,Boston,1/16/2018,ACK,Nantucket,139,2/5/2018
3,BOS,Cape Air,Boston,1/16/2018,ACK,Nantucket,139,2/5/2018
4,BOS,Cape Air,Boston,1/16/2018,ACK,Nantucket,139,2/5/2018
5,BOS,JetBlue Airways,Boston,1/16/2018,ACK,Nantucket,159,2/5/2018
6,BOS,JetBlue Airways,Boston,1/16/2018,ACK,Nantucket,159,2/5/2018
7,BOS,Cape Air,Boston,1/16/2018,ACK,Nantucket,159,2/5/2018
8,BOS,Cape Air,Boston,1/16/2018,ACK,Nantucket,159,2/5/2018
9,BOS,JetBlue Airways,Boston,1/16/2018,ACK,Nantucket,169,2/5/2018
10,BOS,JetBlue Airways,Boston,1/16/2018,ACK,Nantucket,339,2/5/2018
11,BOS,JetBlue Airways,Boston,1/16/2018,ACK,Nantucket,339,2/5/2018
12,BOS,Cape Air,Boston,1/16/2018,ACK,Nantucket,339,2/5/2018
13,BOS,Cape Air,Boston,1/16/2018,ACK,Nantucket,339,2/5/2018
0,DCA,American Airlines,Washington,1/16/2018,ACK,Nantucket,97.8,2/5/2018
1,DCA,American Airlines,Washington,1/16/2018,ACK,Nantucket,97.8,2/5/2018
2,DCA,American Airlines,Washington,1/16/2018,ACK,Nantucket,97.8,2/5/2018
3,DCA,Delta,Washington,1/16/2018,ACK,Nantucket,197.8,2/5/2018
4,DCA,Delta,Washington,1/16/2018,ACK,Nantucket,197.8,2/5/2018
5,DCA,American Airlines,Washington,1/16/2018,ACK,Nantucket,212.1,2/5/2018
6,DCA,American Airlines,Washington,1/16/2018,ACK,Nantucket,254.1,2/5/2018
7,DCA,American Airlines,Washington,1/16/2018,ACK,Nantucket,254.1,2/5/2018
8,DCA,JetBlue Airways,Washington,1/16/2018,ACK,Nantucket,254.1,2/5/2018
9,DCA,JetBlue Airways,Washington,1/16/2018,ACK,Nantucket,287.8,2/5/2018
10,DCA,JetBlue Airways,Washington,1/16/2018,ACK,Nantucket,287.8,2/5/2018
11,DCA,JetBlue Airways,Washington,1/16/2018,ACK,Nantucket,287.8,2/5/2018
12,DCA,Delta,Washington,1/16/2018,ACK,Nantucket,302.8,2/5/2018
13,DCA,United,Washington,1/16/2018,ACK,Nantucket,450.8,2/5/2018
14,DCA,United,Washington,1/16/2018,ACK,Nantucket,450.8,2/5/2018
15,DCA,United,Washington,1/16/2018,ACK,Nantucket,450.8,2/5/2018
16,DCA,United,Washington,1/16/2018,ACK,Nantucket,450.8,2/5/2018
17,DCA,,Washington,1/16/2018,ACK,Nantucket,532.9,2/5/2018
18,DCA,,Washington,1/16/2018,ACK,Nantucket,532.9,2/5/2018
19,DCA,,Washington,1/16/2018,ACK,Nantucket,532.9,2/5/2018
20,DCA,,Washington,1/16/2018,ACK,Nantucket,532.9,2/5/2018
21,DCA,,Washington,1/16/2018,ACK,Nantucket,532.9,2/5/2018
22,DCA,,Washington,1/16/2018,ACK,Nantucket,538.5,2/5/2018
23,DCA,,Washington,1/16/2018,ACK,Nantucket,538.5,2/5/2018
24,DCA,,Washington,1/16/2018,ACK,Nantucket,538.5,2/5/2018
25,DCA,,Washington,1/16/2018,ACK,Nantucket,538.5,2/5/2018
26,DCA,,Washington,1/16/2018,ACK,Nantucket,538.5,2/5/2018
27,DCA,,Washington,1/16/2018,ACK,Nantucket,538.5,2/5/2018
28,DCA,,Washington,1/16/2018,ACK,Nantucket,538.5,2/5/2018
29,DCA,United,Washington,1/16/2018,ACK,Nantucket,761.4,2/5/2018
30,DCA,,Washington,1/16/2018,ACK,Nantucket,1075.7,2/5/2018
31,DCA,,Washington,1/16/2018,ACK,Nantucket,1081.3,2/5/2018
32,DCA,,Washington,1/16/2018,ACK,Nantucket,1081.3,2/5/2018
0,LIH,Hawaiian Airlines,Lihue,1/16/2018,HNL,Honolulu,80,2/5/2018
1,LIH,Hawaiian Airlines,Lihue,1/16/2018,HNL,Honolulu,80,2/5/2018
2,LIH,Hawaiian Airlines,Lihue,1/16/2018,HNL,Honolulu,84,2/5/2018
3,LIH,Hawaiian Airlines,Lihue,1/16/2018,HNL,Honolulu,84,2/5/2018
4,LIH,Hawaiian Airlines,Lihue,1/16/2018,HNL,Honolulu,84,2/5/2018
5,LIH,Hawaiian Airlines,Lihue,1/16/2018,HNL,Honolulu,84,2/5/2018
6,LIH,Hawaiian Airlines,Lihue,1/16/2018,HNL,Honolulu,84,2/5/2018
7,LIH,Hawaiian Airlines,Lihue,1/16/2018,HNL,Honolulu,94,2/5/2018
8,LIH,Hawaiian Airlines,Lihue,1/16/2018,HNL,Honolulu,105,2/5/2018
9,LIH,Hawaiian Airlines,Lihue,1/16/2018,HNL,Honolulu,105,2/5/2018
10,LIH,Hawaiian Airlines,Lihue,1/16/2018,HNL,Honolulu,105,2/5/2018
11,LIH,Hawaiian Airlines,Lihue,1/16/2018,HNL,Honolulu,110,2/5/2018
12,LIH,Hawaiian Airlines,Lihue,1/16/2018,HNL,Honolulu,115,2/5/2018
13,LIH,Hawaiian Airlines,Lihue,1/16/2018,HNL,Honolulu,115,2/5/2018
14,LIH,Hawaiian Airlines,Lihue,1/16/2018,HNL,Honolulu,115,2/5/2018
15,LIH,Hawaiian Airlines,Lihue,1/16/2018,HNL,Honolulu,115,2/5/2018
16,LIH,Hawaiian Airlines,Lihue,1/16/2018,HNL,Honolulu,115,2/5/2018
0,AUS,American Airlines,Austin,1/17/2018,ABQ,Albuquerque,74,2/6/2018
1,AUS,American Airlines,Austin,1/17/2018,ABQ,Albuquerque,74,2/6/2018
2,AUS,United,Austin,1/17/2018,ABQ,Albuquerque,74,2/6/2018
3,AUS,United,Austin,1/17/2018,ABQ,Albuquerque,74,2/6/2018
4,AUS,American Airlines,Austin,1/17/2018,ABQ,Albuquerque,74,2/6/2018
5,AUS,United,Austin,1/17/2018,ABQ,Albuquerque,74,2/6/2018
6,AUS,American Airlines,Austin,1/17/2018,ABQ,Albuquerque,74,2/6/2018
7,AUS,American Airlines,Austin,1/17/2018,ABQ,Albuquerque,74,2/6/2018
8,AUS,American Airlines,Austin,1/17/2018,ABQ,Albuquerque,74,2/6/2018
9,AUS,American Airlines,Austin,1/17/2018,ABQ,Albuquerque,74,2/6/2018
10,AUS,United,Austin,1/17/2018,ABQ,Albuquerque,74,2/6/2018
11,AUS,United,Austin,1/17/2018,ABQ,Albuquerque,79.6,2/6/2018
12,AUS,United,Austin,1/17/2018,ABQ,Albuquerque,123,2/6/2018
13,AUS,Alaska Airlines,Austin,1/17/2018,ABQ,Albuquerque,156.6,2/6/2018
14,AUS,Alaska Airlines,Austin,1/17/2018,ABQ,Albuquerque,184,2/6/2018
15,AUS,United,Austin,1/17/2018,ABQ,Albuquerque,186,2/6/2018
16,AUS,American Airlines,Austin,1/17/2018,ABQ,Albuquerque,186,2/6/2018
17,AUS,,Austin,1/17/2018,ABQ,Albuquerque,191,2/6/2018
18,AUS,American Airlines,Austin,1/17/2018,ABQ,Albuquerque,202,2/6/2018
19,AUS,American Airlines,Austin,1/17/2018,ABQ,Albuquerque,211,2/6/2018
20,AUS,American Airlines,Austin,1/17/2018,ABQ,Albuquerque,253,2/6/2018
21,AUS,,Austin,1/17/2018,ABQ,Albuquerque,254.2,2/6/2018
22,AUS,,Austin,1/17/2018,ABQ,Albuquerque,254.2,2/6/2018
23,AUS,Delta,Austin,1/17/2018,ABQ,Albuquerque,353,2/6/2018
24,AUS,Delta,Austin,1/17/2018,ABQ,Albuquerque,353,2/6/2018
25,AUS,Delta,Austin,1/17/2018,ABQ,Albuquerque,358,2/6/2018
26,AUS,Delta,Austin,1/17/2018,ABQ,Albuquerque,358.6,2/6/2018
27,AUS,Delta,Austin,1/17/2018,ABQ,Albuquerque,363.6,2/6/2018
28,AUS,,Austin,1/17/2018,ABQ,Albuquerque,639.2,2/6/2018
29,AUS,,Austin,1/17/2018,ABQ,Albuquerque,644.8,2/6/2018
30,AUS,,Austin,1/17/2018,ABQ,Albuquerque,644.8,2/6/2018
0,KOA,Hawaiian Airlines,Kailua-Kona,1/17/2018,HNL,Honolulu,90,2/6/2018
1,KOA,Hawaiian Airlines,Kailua-Kona,1/17/2018,HNL,Honolulu,95,2/6/2018
2,KOA,Hawaiian Airlines,Kailua-Kona,1/17/2018,HNL,Honolulu,95,2/6/2018
3,KOA,Hawaiian Airlines,Kailua-Kona,1/17/2018,HNL,Honolulu,95,2/6/2018
4,KOA,Hawaiian Airlines,Kailua-Kona,1/17/2018,HNL,Honolulu,104,2/6/2018
5,KOA,Hawaiian Airlines,Kailua-Kona,1/17/2018,HNL,Honolulu,104,2/6/2018
6,KOA,Hawaiian Airlines,Kailua-Kona,1/17/2018,HNL,Honolulu,104,2/6/2018
7,KOA,Hawaiian Airlines,Kailua-Kona,1/17/2018,HNL,Honolulu,115,2/6/2018
8,KOA,Hawaiian Airlines,Kailua-Kona,1/17/2018,HNL,Honolulu,115,2/6/2018
9,KOA,Hawaiian Airlines,Kailua-Kona,1/17/2018,HNL,Honolulu,115,2/6/2018
10,KOA,Hawaiian Airlines,Kailua-Kona,1/17/2018,HNL,Honolulu,125,2/6/2018
11,KOA,Hawaiian Airlines,Kailua-Kona,1/17/2018,HNL,Honolulu,125,2/6/2018
12,KOA,Hawaiian Airlines,Kailua-Kona,1/17/2018,HNL,Honolulu,125,2/6/2018
13,KOA,Hawaiian Airlines,Kailua-Kona,1/17/2018,HNL,Honolulu,135,2/6/2018
14,KOA,Hawaiian Airlines,Kailua-Kona,1/17/2018,HNL,Honolulu,135,2/6/2018
15,KOA,Mokulele Airlines,Kailua-Kona,1/17/2018,HNL,Honolulu,141,2/6/2018
16,KOA,Mokulele Airlines,Kailua-Kona,1/17/2018,HNL,Honolulu,145.2,2/6/2018
17,KOA,Hawaiian Airlines,Kailua-Kona,1/17/2018,HNL,Honolulu,150,2/6/2018
18,KOA,Mokulele Airlines,Kailua-Kona,1/17/2018,HNL,Honolulu,151,2/6/2018
19,KOA,Mokulele Airlines,Kailua-Kona,1/17/2018,HNL,Honolulu,151,2/6/2018
20,KOA,Mokulele Airlines,Kailua-Kona,1/17/2018,HNL,Honolulu,151,2/6/2018
21,KOA,Mokulele Airlines,Kailua-Kona,1/17/2018,HNL,Honolulu,151,2/6/2018
22,KOA,Mokulele Airlines,Kailua-Kona,1/17/2018,HNL,Honolulu,151,2/6/2018
23,KOA,Mokulele Airlines,Kailua-Kona,1/17/2018,HNL,Honolulu,151,2/6/2018
24,KOA,Mokulele Airlines,Kailua-Kona,1/17/2018,HNL,Honolulu,151,2/6/2018
25,KOA,Mokulele Airlines,Kailua-Kona,1/17/2018,HNL,Honolulu,151,2/6/2018
26,KOA,Mokulele Airlines,Kailua-Kona,1/17/2018,HNL,Honolulu,151,2/6/2018
27,KOA,Mokulele Airlines,Kailua-Kona,1/17/2018,HNL,Honolulu,155.2,2/6/2018
28,KOA,Mokulele Airlines,Kailua-Kona,1/17/2018,HNL,Honolulu,155.2,2/6/2018
29,KOA,Mokulele Airlines,Kailua-Kona,1/17/2018,HNL,Honolulu,155.2,2/6/2018
30,KOA,Mokulele Airlines,Kailua-Kona,1/17/2018,HNL,Honolulu,155.2,2/6/2018
31,KOA,Mokulele Airlines,Kailua-Kona,1/17/2018,HNL,Honolulu,155.2,2/6/2018
32,KOA,Mokulele Airlines,Kailua-Kona,1/17/2018,HNL,Honolulu,155.2,2/6/2018
33,KOA,Mokulele Airlines,Kailua-Kona,1/17/2018,HNL,Honolulu,155.2,2/6/2018
34,KOA,Mokulele Airlines,Kailua-Kona,1/17/2018,HNL,Honolulu,155.2,2/6/2018
0,ATL,Delta,Atlanta,1/17/2018,ABE,Allentown,213.2,2/6/2018
1,ATL,Delta,Atlanta,1/17/2018,ABE,Allentown,213.2,2/6/2018
2,ATL,Delta,Atlanta,1/17/2018,ABE,Allentown,214.3,2/6/2018
3,ATL,Delta,Atlanta,1/17/2018,ABE,Allentown,214.3,2/6/2018
4,ATL,Delta,Atlanta,1/17/2018,ABE,Allentown,214.3,2/6/2018
5,ATL,Delta,Atlanta,1/17/2018,ABE,Allentown,218.8,2/6/2018
6,ATL,American Airlines,Atlanta,1/17/2018,ABE,Allentown,221.5,2/6/2018
7,ATL,American Airlines,Atlanta,1/17/2018,ABE,Allentown,221.5,2/6/2018
8,ATL,American Airlines,Atlanta,1/17/2018,ABE,Allentown,221.5,2/6/2018
